simplified,pinyin,traditional,pos,classifier,definition,source
初中,chū zhōng,初中,n,,junior high school (abbr. for 初级中学),new-HSK3
除了,chú le,除了,p,,besides,new-HSK3
除了,chú le,除了,p,,apart from (... also...),new-HSK3
除了,chú le,除了,p,,in addition to,new-HSK3
除了,chú le,除了,p,,except (for),new-HSK3
处理,chǔ lǐ,處理,"v, vn",,to handle; to deal with,"old-HSK5, new-HSK3"
处理,chǔ lǐ,處理,"v, vn",,to punish,"old-HSK5, new-HSK3"
处理,chǔ lǐ,處理,"v, vn",,to treat sth by a special process; to process,"old-HSK5, new-HSK3"
处理,chǔ lǐ,處理,"v, vn",,to sell at reduced prices,"old-HSK5, new-HSK3"
传,chuán,傳,"v, g, vn",,to pass on,new-HSK3
传,chuán,傳,"v, g, vn",,to spread,new-HSK3
传,chuán,傳,"v, g, vn",,to transmit,new-HSK3
传,chuán,傳,"v, g, vn",,to infect,new-HSK3
传,chuán,傳,"v, g, vn",,to transfer,new-HSK3
传,chuán,傳,"v, g, vn",,to circulate,new-HSK3
传,chuán,傳,"v, g, vn",,to conduct (electricity),new-HSK3
传,zhuàn,傳,"v, g, vn",,biography,new-HSK3
传,zhuàn,傳,"v, g, vn",,historical narrative,new-HSK3
传,zhuàn,傳,"v, g, vn",,commentaries,new-HSK3
传,zhuàn,傳,"v, g, vn",,relay station,new-HSK3
传播,chuán bō,傳播,"v, vn",,to disseminate; to propagate; to spread,"old-HSK5, new-HSK3"
传来,chuán lái,傳來,v,,(of a sound) to come through,new-HSK3
传来,chuán lái,傳來,v,,to be heard,new-HSK3
传来,chuán lái,傳來,v,,(of news) to arrive,new-HSK3
传说,chuán shuō,傳說,"n, v",,legend; folk tale,"old-HSK5, new-HSK3"
传说,chuán shuō,傳說,"n, v",,to repeat from mouth to mouth; they say that...,"old-HSK5, new-HSK3"
创新,chuàng xīn,創新,"v, vn",,to bring forth new ideas; to blaze new trails,new-HSK3
创新,chuàng xīn,創新,"v, vn",,innovation,new-HSK3
创业,chuàng yè,創業,"v, vn",,to begin an undertaking,new-HSK3
创业,chuàng yè,創業,"v, vn",,to start a major task,new-HSK3
创业,chuàng yè,創業,"v, vn",,to initiate,new-HSK3
创业,chuàng yè,創業,"v, vn",,to venture,new-HSK3
创业,chuàng yè,創業,"v, vn",,venture,new-HSK3
创业,chuàng yè,創業,"v, vn",,entrepreneurship,new-HSK3
创造,chuàng zào,創造,"v, vn",,to create,"old-HSK5, new-HSK3"
创造,chuàng zào,創造,"v, vn",,to bring about,"old-HSK5, new-HSK3"
创造,chuàng zào,創造,"v, vn",,to produce,"old-HSK5, new-HSK3"
创造,chuàng zào,創造,"v, vn",,to set (a record),"old-HSK5, new-HSK3"
创作,chuàng zuò,創作,"v, vn, n",个,to create,new-HSK3
创作,chuàng zuò,創作,"v, vn, n",个,to produce,new-HSK3
创作,chuàng zuò,創作,"v, vn, n",个,to write,new-HSK3
创作,chuàng zuò,創作,"v, vn, n",个,creative work,new-HSK3
创作,chuàng zuò,創作,"v, vn, n",个,creation,new-HSK3
从来,cóng lái,從來,d,,always,new-HSK3
从来,cóng lái,從來,d,,at all times,new-HSK3
从来,cóng lái,從來,d,,never (if used in negative sentence),new-HSK3
从前,cóng qián,從前,t,,previously,"old-HSK5, new-HSK3"
从前,cóng qián,從前,t,,formerly,"old-HSK5, new-HSK3"
从前,cóng qián,從前,t,,once upon a time,"old-HSK5, new-HSK3"
从事,cóng shì,從事,v,,to go for,"old-HSK5, new-HSK3"
从事,cóng shì,從事,v,,to engage in,"old-HSK5, new-HSK3"
从事,cóng shì,從事,v,,to undertake,"old-HSK5, new-HSK3"
从事,cóng shì,從事,v,,to deal with,"old-HSK5, new-HSK3"
从事,cóng shì,從事,v,,to handle,"old-HSK5, new-HSK3"
从事,cóng shì,從事,v,,to do,"old-HSK5, new-HSK3"
村,cūn,村,n,,village,new-HSK3
村,cūn,邨,n,,variant of 村,new-HSK3
存,cún,存,v,,to exist,"old-HSK5, new-HSK3"
存,cún,存,v,,to deposit,"old-HSK5, new-HSK3"
存,cún,存,v,,to store,"old-HSK5, new-HSK3"
存,cún,存,v,,to keep,"old-HSK5, new-HSK3"
存,cún,存,v,,to survive,"old-HSK5, new-HSK3"
存在,cún zài,存在,"v, vn",,to exist,"old-HSK5, new-HSK3"
存在,cún zài,存在,"v, vn",,to be,"old-HSK5, new-HSK3"
存在,cún zài,存在,"v, vn",,existence,"old-HSK5, new-HSK3"
错误,cuò wù,錯誤,"n, a",个,mistaken; false; wrong,"old-HSK5, new-HSK3"
错误,cuò wù,錯誤,"n, a",个,error; mistake,"old-HSK5, new-HSK3"
达到,dá dào,達到,v,,to reach; to achieve; to attain,"old-HSK5, new-HSK3"
打破,dǎ pò,打破,v,,to break; to smash,new-HSK3
打听,dǎ ting,打聽,v,,to ask about,"old-HSK5, new-HSK3"
打听,dǎ ting,打聽,v,,to make some inquiries,"old-HSK5, new-HSK3"
打听,dǎ ting,打聽,v,,to ask around,"old-HSK5, new-HSK3"
大夫,dà fū,大夫,n,,senior official (in imperial China),new-HSK3
大夫,dài fu,大夫,n,,doctor,new-HSK3
大夫,dài fu,大夫,n,,physician,new-HSK3
大概,dà gài,大概,"d, n",,roughly,new-HSK3
大概,dà gài,大概,"d, n",,probably,new-HSK3
大概,dà gài,大概,"d, n",,rough,new-HSK3
大概,dà gài,大概,"d, n",,approximate,new-HSK3
大概,dà gài,大概,"d, n",,about,new-HSK3
大概,dà gài,大概,"d, n",,general idea,new-HSK3
大使馆,dà shǐ guǎn,大使館,n,"座, 个",embassy,new-HSK3
大约,dà yuē,大約,d,,approximately,new-HSK3
大约,dà yuē,大約,d,,probably,new-HSK3
代,dài,代,"v, q, n",,to substitute,new-HSK3
代,dài,代,"v, q, n",,to act on behalf of others,new-HSK3
代,dài,代,"v, q, n",,to replace,new-HSK3
代,dài,代,"v, q, n",,generation,new-HSK3
代,dài,代,"v, q, n",,dynasty,new-HSK3
代,dài,代,"v, q, n",,age,new-HSK3
代,dài,代,"v, q, n",,period,new-HSK3
代,dài,代,"v, q, n",,(historical) era,new-HSK3
代,dài,代,"v, q, n",,(geological) eon,new-HSK3
代表,dài biǎo,代表,"n, v","位, 个, 名",representative,new-HSK3
代表,dài biǎo,代表,"n, v","位, 个, 名",delegate,new-HSK3
代表,dài biǎo,代表,"n, v","位, 个, 名",to represent,new-HSK3
代表,dài biǎo,代表,"n, v","位, 个, 名",to stand for,new-HSK3
代表,dài biǎo,代表,"n, v","位, 个, 名",on behalf of,new-HSK3
代表,dài biǎo,代表,"n, v","位, 个, 名",in the name of,new-HSK3
代表团,dài biǎo tuán,代表團,n,个,delegation,new-HSK3
带动,dài dòng,帶動,"v, vn",,to spur; to provide impetus; to drive,new-HSK3
带领,dài lǐng,帶領,"v, vn",,to guide,new-HSK3
带领,dài lǐng,帶領,"v, vn",,to lead,new-HSK3
单元,dān yuán,單元,n,,unit (forming an entity),"old-HSK5, new-HSK3"
单元,dān yuán,單元,n,,element,"old-HSK5, new-HSK3"
单元,dān yuán,單元,n,,(in a residential building) entrance or staircase,"old-HSK5, new-HSK3"
当初,dāng chū,當初,t,,at that time,new-HSK3
当初,dāng chū,當初,t,,originally,new-HSK3
当地,dāng dì,當地,s,,local,new-HSK3
当然,dāng rán,當然,"d, b",,only natural,new-HSK3
当然,dāng rán,當然,"d, b",,as it should be,new-HSK3
当然,dāng rán,當然,"d, b",,certainly,new-HSK3
当然,dāng rán,當然,"d, b",,of course,new-HSK3
当然,dāng rán,當然,"d, b",,without doubt,new-HSK3
当中,dāng zhōng,當中,f,,among,new-HSK3
当中,dāng zhōng,當中,f,,in the middle,new-HSK3
当中,dāng zhōng,當中,f,,in the center,new-HSK3
刀,Dāo,刀,"n, q",,surname Dao,new-HSK3
刀,dāo,刀,"n, q",把,knife,new-HSK3
刀,dāo,刀,"n, q",把,blade,new-HSK3
刀,dāo,刀,"n, q",把,single-edged sword,new-HSK3
刀,dāo,刀,"n, q",把,cutlass,new-HSK3
刀,dāo,刀,"n, q",把,(slang) dollar (loanword),new-HSK3
刀,dāo,刀,"n, q",把,classifier for sets of one hundred sheets (of paper),new-HSK3
刀,dāo,刀,"n, q",把,classifier for knife cuts or stabs,new-HSK3
导演,dǎo yǎn,導演,,,to direct,"old-HSK5, new-HSK3"
导演,dǎo yǎn,導演,,,director (film etc),"old-HSK5, new-HSK3"
到达,dào dá,到達,v,,to reach; to arrive,"old-HSK5, new-HSK3"
到底,dào dǐ,到底,"d, v",,finally,new-HSK3
到底,dào dǐ,到底,"d, v",,in the end,new-HSK3
到底,dào dǐ,到底,"d, v",,when all is said and done,new-HSK3
到底,dào dǐ,到底,"d, v",,after all,new-HSK3
到底,dào dǐ,到底,"d, v",,to the end,new-HSK3
到底,dào dǐ,到底,"d, v",,to the last,new-HSK3
地区,dì qū,地區,n,个,local,"old-HSK5, new-HSK3"
地区,dì qū,地區,n,个,regional,"old-HSK5, new-HSK3"
地区,dì qū,地區,n,个,district (not necessarily formal administrative unit),"old-HSK5, new-HSK3"
地区,dì qū,地區,n,个,region,"old-HSK5, new-HSK3"
地区,dì qū,地區,n,个,area,"old-HSK5, new-HSK3"
地区,dì qū,地區,n,个,"as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)","old-HSK5, new-HSK3"
得分,dé fēn,得分,"v, n",,to score,new-HSK3
等待,děng dài,等待,"v, vn",,to wait; to wait for,"old-HSK5, new-HSK3"
底下,dǐ xia,底下,f,,the location below sth,new-HSK3
底下,dǐ xia,底下,f,,afterwards,new-HSK3
电视剧,diàn shì jù,電視劇,n,部,TV series,new-HSK3
电视剧,diàn shì jù,電視劇,n,部,TV drama,new-HSK3
电视台,diàn shì tái,電視臺,n,个,television station,new-HSK3
电台,diàn tái,電臺,n,"个, 家",transmitter-receiver,"old-HSK5, new-HSK3"
电台,diàn tái,電臺,n,"个, 家",broadcasting station,"old-HSK5, new-HSK3"
电台,diàn tái,電臺,n,"个, 家",radio station,"old-HSK5, new-HSK3"
电子邮件,diàn zǐ yóu jiàn,電子郵件,,"封, 份",email,new-HSK3
调,diào,調,"v, n",,to transfer,new-HSK3
调,diào,調,"v, n",,to move (troops or cadres),new-HSK3
调,diào,調,"v, n",,to investigate,new-HSK3
调,diào,調,"v, n",,to enquire into,new-HSK3
调,diào,調,"v, n",,accent,new-HSK3
调,diào,調,"v, n",,view,new-HSK3
调,diào,調,"v, n",,argument,new-HSK3
调,diào,調,"v, n",,key (in music),new-HSK3
调,diào,調,"v, n",,mode (music),new-HSK3
调,diào,調,"v, n",,tune,new-HSK3
调,diào,調,"v, n",,tone,new-HSK3
调,diào,調,"v, n",,melody,new-HSK3
调,tiáo,調,"v, n",,to harmonize,new-HSK3
调,tiáo,調,"v, n",,to reconcile,new-HSK3
调,tiáo,調,"v, n",,to blend,new-HSK3
调,tiáo,調,"v, n",,to suit well,new-HSK3
调,tiáo,調,"v, n",,to adjust,new-HSK3
调,tiáo,調,"v, n",,to regulate,new-HSK3
调,tiáo,調,"v, n",,to season (food),new-HSK3
调,tiáo,調,"v, n",,to provoke,new-HSK3
调,tiáo,調,"v, n",,to incite,new-HSK3
调查,diào chá,調查,"v, vn","项, 个",investigation,new-HSK3
调查,diào chá,調查,"v, vn","项, 个",inquiry,new-HSK3
调查,diào chá,調查,"v, vn","项, 个",to investigate,new-HSK3
调查,diào chá,調查,"v, vn","项, 个",to survey,new-HSK3
调查,diào chá,調查,"v, vn","项, 个",survey,new-HSK3
调查,diào chá,調查,"v, vn","项, 个",(opinion) poll,new-HSK3
调整,tiáo zhěng,調整,"v, vn",个,to adjust,"old-HSK5, new-HSK3"
调整,tiáo zhěng,調整,"v, vn",个,adjustment,"old-HSK5, new-HSK3"
调整,tiáo zhěng,調整,"v, vn",个,revision,"old-HSK5, new-HSK3"
订,dìng,訂,v,,to agree,new-HSK3
订,dìng,訂,v,,to conclude,new-HSK3
订,dìng,訂,v,,to draw up,new-HSK3
订,dìng,訂,v,,to subscribe to (a newspaper etc),new-HSK3
订,dìng,訂,v,,to order,new-HSK3
定期,dìng qī,定期,"d, b",,at set dates,new-HSK3
定期,dìng qī,定期,"d, b",,at regular intervals,new-HSK3
定期,dìng qī,定期,"d, b",,periodic,new-HSK3
定期,dìng qī,定期,"d, b",,limited to a fixed period of time,new-HSK3
定期,dìng qī,定期,"d, b",,fixed term,new-HSK3
东部,dōng bù,東部,f,,the east,new-HSK3
东部,dōng bù,東部,f,,eastern part,new-HSK3
动力,dòng lì,動力,n,,motive power,new-HSK3
动力,dòng lì,動力,n,,force,new-HSK3
动力,dòng lì,動力,n,,(fig.) motivation,new-HSK3
动力,dòng lì,動力,n,,impetus,new-HSK3
动人,dòng rén,動人,a,,touching,new-HSK3
动人,dòng rén,動人,a,,moving,new-HSK3
读者,dú zhě,讀者,n,,reader,new-HSK3
短处,duǎn chù,短處,n,,shortcoming,new-HSK3
短处,duǎn chù,短處,n,,defect,new-HSK3
短处,duǎn chù,短處,n,,fault,new-HSK3
短处,duǎn chù,短處,n,,one's weak points,new-HSK3
短裤,duǎn kù,短褲,n,,short pants,new-HSK3
短裤,duǎn kù,短褲,n,,shorts,new-HSK3
短期,duǎn qī,短期,"b, d",,short term,new-HSK3
短期,duǎn qī,短期,"b, d",,short-term,new-HSK3
断,duàn,斷,"v, vn",,to break,new-HSK3
断,duàn,斷,"v, vn",,to snap,new-HSK3
断,duàn,斷,"v, vn",,to cut off,new-HSK3
断,duàn,斷,"v, vn",,to give up or abstain from sth,new-HSK3
断,duàn,斷,"v, vn",,to judge,new-HSK3
断,duàn,斷,"v, vn",,(usu. used in the negative) absolutely,new-HSK3
断,duàn,斷,"v, vn",,definitely,new-HSK3
断,duàn,斷,"v, vn",,decidedly,new-HSK3
队员,duì yuán,隊員,n,,team member,new-HSK3
对待,duì dài,對待,"v, vn",,to treat,"old-HSK5, new-HSK3"
对待,duì dài,對待,"v, vn",,treatment,"old-HSK5, new-HSK3"
对方,duì fāng,對方,n,,the other person; the other side; the other party,"old-HSK5, new-HSK3"
对手,duì shǒu,對手,n,,opponent,"old-HSK5, new-HSK3"
对手,duì shǒu,對手,n,,rival,"old-HSK5, new-HSK3"
对手,duì shǒu,對手,n,,competitor,"old-HSK5, new-HSK3"
对手,duì shǒu,對手,n,,(well-matched) adversary,"old-HSK5, new-HSK3"
对手,duì shǒu,對手,n,,match,"old-HSK5, new-HSK3"
对象,duì xiàng,對象,n,个,target; object,"old-HSK5, new-HSK3"
对象,duì xiàng,對象,n,个,partner; boyfriend; girlfriend,"old-HSK5, new-HSK3"
顿,dùn,頓,"qv, g",,to stop,new-HSK3
顿,dùn,頓,"qv, g",,to pause,new-HSK3
顿,dùn,頓,"qv, g",,to arrange,new-HSK3
顿,dùn,頓,"qv, g",,to lay out,new-HSK3
顿,dùn,頓,"qv, g",,to kowtow,new-HSK3
顿,dùn,頓,"qv, g",,to stamp (one's foot),new-HSK3
顿,dùn,頓,"qv, g",,at once,new-HSK3
顿,dùn,頓,"qv, g",,"classifier for meals, beatings, scoldings etc: time, bout, spell, meal",new-HSK3
发表,fā biǎo,發表,v,,to issue,"old-HSK5, new-HSK3"
发表,fā biǎo,發表,v,,to publish,"old-HSK5, new-HSK3"
发出,fā chū,發出,v,,"to issue (an order, decree etc); to send out; to dispatch",new-HSK3
发出,fā chū,發出,v,,to produce (a sound); to let out (a laugh),new-HSK3
发达,fā dá,發達,a,,well-developed; flourishing,"old-HSK5, new-HSK3"
发达,fā dá,發達,a,,to develop; to promote; to expand,"old-HSK5, new-HSK3"
发达,fā dá,發達,a,,(literary) to achieve fame and fortune; to prosper,"old-HSK5, new-HSK3"
发动,fā dòng,發動,v,,to start,new-HSK3
发动,fā dòng,發動,v,,to launch,new-HSK3
发动,fā dòng,發動,v,,to unleash,new-HSK3
发动,fā dòng,發動,v,,to mobilize,new-HSK3
发动,fā dòng,發動,v,,to arouse,new-HSK3
发明,fā míng,發明,"v, n, vn",个,to invent,"old-HSK5, new-HSK3"
发明,fā míng,發明,"v, n, vn",个,an invention,"old-HSK5, new-HSK3"
发生,fā shēng,發生,"v, vn",,to happen; to occur; to take place; to break out,new-HSK3
发送,fā sòng,發送,"v, vn",,to transmit,new-HSK3
发送,fā sòng,發送,"v, vn",,to dispatch,new-HSK3
发送,fā sòng,發送,"v, vn",,to issue (an official document or credential),new-HSK3
发言,fā yán,發言,"v, vn",个,to make a speech,"old-HSK5, new-HSK3"
发言,fā yán,發言,"v, vn",个,statement,"old-HSK5, new-HSK3"
发言,fā yán,發言,"v, vn",个,utterance,"old-HSK5, new-HSK3"
发展,fā zhǎn,發展,"v, vn",,development,new-HSK3
发展,fā zhǎn,發展,"v, vn",,growth,new-HSK3
发展,fā zhǎn,發展,"v, vn",,to develop,new-HSK3
发展,fā zhǎn,發展,"v, vn",,to grow,new-HSK3
发展,fā zhǎn,發展,"v, vn",,to expand,new-HSK3
反对,fǎn duì,反對,"v, vn",,to oppose; to be against; to object to,new-HSK3
反复,fǎn fù,反復,"d, v, vn",,variant of 反复,"old-HSK5, new-HSK3"
反复,fǎn fù,反覆,"d, v, vn",,repeatedly,"old-HSK5, new-HSK3"
反复,fǎn fù,反覆,"d, v, vn",,over and over,"old-HSK5, new-HSK3"
反复,fǎn fù,反覆,"d, v, vn",,to upend,"old-HSK5, new-HSK3"
反复,fǎn fù,反覆,"d, v, vn",,unstable,"old-HSK5, new-HSK3"
反复,fǎn fù,反覆,"d, v, vn",,to come and go,"old-HSK5, new-HSK3"
反复,fǎn fù,反覆,"d, v, vn",,(of an illness) to return,"old-HSK5, new-HSK3"
反应,fǎn yìng,反應,"vn, v, n",个,to react,"old-HSK5, new-HSK3"
反应,fǎn yìng,反應,"vn, v, n",个,to respond,"old-HSK5, new-HSK3"
反应,fǎn yìng,反應,"vn, v, n",个,reaction,"old-HSK5, new-HSK3"
反应,fǎn yìng,反應,"vn, v, n",个,response,"old-HSK5, new-HSK3"
反应,fǎn yìng,反應,"vn, v, n",个,reply,"old-HSK5, new-HSK3"
反应,fǎn yìng,反應,"vn, v, n",个,chemical reaction,"old-HSK5, new-HSK3"
反正,fǎn zhèng,反正,d,,anyway,"old-HSK5, new-HSK3"
反正,fǎn zhèng,反正,d,,in any case,"old-HSK5, new-HSK3"
反正,fǎn zhèng,反正,d,,to come over from the enemy's side,"old-HSK5, new-HSK3"
范围,fàn wéi,範圍,n,个,range,new-HSK3
范围,fàn wéi,範圍,n,个,scope,new-HSK3
范围,fàn wéi,範圍,n,个,limit,new-HSK3
范围,fàn wéi,範圍,n,个,extent,new-HSK3
方式,fāng shì,方式,n,个,way; manner; style; mode; pattern,"old-HSK5, new-HSK3"
防,fáng,防,v,,to protect,new-HSK3
防,fáng,防,v,,to defend,new-HSK3
防,fáng,防,v,,to guard against,new-HSK3
防,fáng,防,v,,to prevent,new-HSK3
防止,fáng zhǐ,防止,v,,to prevent,new-HSK3
防止,fáng zhǐ,防止,v,,to guard against,new-HSK3
防止,fáng zhǐ,防止,v,,to take precautions,new-HSK3
房东,fáng dōng,房東,n,,landlord,"old-HSK5, new-HSK3"
房屋,fáng wū,房屋,n,"所, 套",house,new-HSK3
房屋,fáng wū,房屋,n,"所, 套",building,new-HSK3
房租,fáng zū,房租,n,,rent for a room or house,new-HSK3
访问,fǎng wèn,訪問,"v, vn",次,to visit,new-HSK3
访问,fǎng wèn,訪問,"v, vn",次,to call on,new-HSK3
访问,fǎng wèn,訪問,"v, vn",次,to interview,new-HSK3
放到,fàng dào,放到,v,,Put in,new-HSK3
飞行,fēi xíng,飛行,"vn, v",,(of planes etc) to fly,new-HSK3
飞行,fēi xíng,飛行,"vn, v",,flying,new-HSK3
飞行,fēi xíng,飛行,"vn, v",,flight,new-HSK3
飞行,fēi xíng,飛行,"vn, v",,aviation,new-HSK3
费,Fèi,費,"n, v, nr",,surname Fei,new-HSK3
费,fèi,費,"n, v, nr",,to cost,new-HSK3
费,fèi,費,"n, v, nr",,to spend,new-HSK3
费,fèi,費,"n, v, nr",,fee,new-HSK3
费,fèi,費,"n, v, nr",,wasteful,new-HSK3
费,fèi,費,"n, v, nr",,expenses,new-HSK3
费用,fèi yòng,費用,n,"笔, 个",cost,"old-HSK5, new-HSK3"
费用,fèi yòng,費用,n,"笔, 个",expenditure,"old-HSK5, new-HSK3"
费用,fèi yòng,費用,n,"笔, 个",expense,"old-HSK5, new-HSK3"
分别,fēn bié,分別,"d, v",,to part; to leave each other,"old-HSK5, new-HSK3"
分别,fēn bié,分別,"d, v",,to distinguish; to tell apart,"old-HSK5, new-HSK3"
分别,fēn bié,分別,"d, v",,difference; distinction,"old-HSK5, new-HSK3"
分别,fēn bié,分別,"d, v",,in different ways; differently,"old-HSK5, new-HSK3"
分别,fēn bié,分別,"d, v",,separately; individually,"old-HSK5, new-HSK3"
分配,fēn pèi,分配,"v, vn",,to distribute,"old-HSK5, new-HSK3"
分配,fēn pèi,分配,"v, vn",,to assign,"old-HSK5, new-HSK3"
分配,fēn pèi,分配,"v, vn",,to allocate,"old-HSK5, new-HSK3"
分配,fēn pèi,分配,"v, vn",,to partition (a hard drive),"old-HSK5, new-HSK3"
分组,fēn zǔ,分組,"v, vn",,to divide into groups,new-HSK3
分组,fēn zǔ,分組,"v, vn",,group (formed from a larger group),new-HSK3
分组,fēn zǔ,分組,"v, vn",,subgroup,new-HSK3
分组,fēn zǔ,分組,"v, vn",,(computer networking) packet,new-HSK3
丰富,fēng fù,豐富,"a, v",,to enrich,new-HSK3
丰富,fēng fù,豐富,"a, v",,rich,new-HSK3
丰富,fēng fù,豐富,"a, v",,plentiful,new-HSK3
丰富,fēng fù,豐富,"a, v",,abundant,new-HSK3
风险,fēng xiǎn,風險,n,,risk; hazard,"old-HSK5, new-HSK3"
否定,fǒu dìng,否定,"v, vn",,to negate,"old-HSK5, new-HSK3"
否定,fǒu dìng,否定,"v, vn",,to deny,"old-HSK5, new-HSK3"
否定,fǒu dìng,否定,"v, vn",,to reject,"old-HSK5, new-HSK3"
否定,fǒu dìng,否定,"v, vn",,negative (answer),"old-HSK5, new-HSK3"
否定,fǒu dìng,否定,"v, vn",,negation,"old-HSK5, new-HSK3"
否认,fǒu rèn,否認,"v, vn",,to declare to be untrue,"old-HSK5, new-HSK3"
否认,fǒu rèn,否認,"v, vn",,to deny,"old-HSK5, new-HSK3"
服务员,fú wù yuán,服務員,n,"个, 位",waiter,new-HSK3
服务员,fú wù yuán,服務員,n,"个, 位",waitress,new-HSK3
服务员,fú wù yuán,服務員,n,"个, 位",attendant,new-HSK3
服务员,fú wù yuán,服務員,n,"个, 位",customer service personnel,new-HSK3
服装,fú zhuāng,服裝,n,身,dress,"old-HSK5, new-HSK3"
服装,fú zhuāng,服裝,n,身,clothing,"old-HSK5, new-HSK3"
服装,fú zhuāng,服裝,n,身,costume,"old-HSK5, new-HSK3"
服装,fú zhuāng,服裝,n,身,clothes,"old-HSK5, new-HSK3"
福,Fú,福,n,,surname Fu,new-HSK3
福,Fú,福,n,,abbr. for Fujian province 省,new-HSK3
福,fú,福,n,,good fortune,new-HSK3
福,fú,福,n,,happiness,new-HSK3
福,fú,福,n,,luck,new-HSK3
父母,fù mǔ,父母,n,,father and mother; parents,new-HSK3
父亲,fù qīn,父親,n,个,father,new-HSK3
